UF_RES,UF_MOV,HOSPITALIZACOES,RES_LAT,RES_LON,MOV_LAT,MOV_LON
Pará,Rio Grande do Norte,1,-3.96360452999938,-53.07098190581554,-5.839255494364668,-36.67326985918983
Pará,Rio Grande do Sul,2,-3.96360452999938,-53.07098190581554,-29.678839629718627,-53.320051841053065
Pará,Rio de Janeiro,1,-3.96360452999938,-53.07098190581554,-22.1927501263549,-42.66029361738904
Pará,Rondônia,5,-3.96360452999938,-53.07098190581554,-10.90442312825415,-62.84474092395724
Pará,Santa Catarina,5,-3.96360452999938,-53.07098190581554,-27.240610757469174,-50.47740300071737
Pará,São Paulo,65,-3.96360452999938,-53.07098190581554,-22.250052902639116,-48.734659900719734
Pará,Tocantins,31,-3.96360452999938,-53.07098190581554,-10.131696777104315,-48.330725819425574
Pernambuco,Alagoas,12,-8.324409775914233,-37.99762312297779,-9.513145847398288,-36.62481420015896
Pernambuco,Amapá,16,-8.324409775914233,-37.99762312297779,1.446579361967846,-51.96205349152536
Pernambuco,Bahia,192,-8.324409775914233,-37.99762312297779,-12.45234511713527,-41.72176450233577
Pernambuco,Ceará,39,-8.324409775914233,-37.99762312297779,-5.089815983830066,-39.61608178595244
Pernambuco,Goiás,2,-8.324409775914233,-37.99762312297779,-16.021068269554988,-49.61616789197541
Pernambuco,Maranhão,1,-8.324409775914233,-37.99762312297779,-5.063473525889801,-45.286406362550146
Pernambuco,Mato Grosso,4,-8.324409775914233,-37.99762312297779,-12.916186132060574,-55.9149517572351
Pernambuco,Mato Grosso do Sul,1,-8.324409775914233,-37.99762312297779,-20.304769734215245,-54.84700428372272
Pernambuco,Minas Gerais,14,-8.324409775914233,-37.99762312297779,-18.42237047816257,-44.668033901736656
Pernambuco,Paraná,3,-8.324409775914233,-37.99762312297779,-24.624367999451334,-51.617875384343
Pernambuco,Paraíba,46,-8.324409775914233,-37.99762312297779,-7.12044513673908,-36.83247370477853
Pernambuco,Pará,3,-8.324409775914233,-37.99762312297779,-3.96360452999938,-53.07098190581554
Pernambuco,Piauí,3,-8.324409775914233,-37.99762312297779,-7.378677773863817,-42.96696522142286
Pernambuco,Rio Grande do Norte,3,-8.324409775914233,-37.99762312297779,-5.839255494364668,-36.67326985918983
Pernambuco,Rio Grande do Sul,9,-8.324409775914233,-37.99762312297779,-29.678839629718627,-53.320051841053065
Pernambuco,Rio de Janeiro,2,-8.324409775914233,-37.99762312297779,-22.1927501263549,-42.66029361738904
Pernambuco,Santa Catarina,3,-8.324409775914233,-37.99762312297779,-27.240610757469174,-50.47740300071737
Pernambuco,São Paulo,11,-8.324409775914233,-37.99762312297779,-22.250052902639116,-48.734659900719734
Piauí,Alagoas,1,-7.378677773863817,-42.96696522142286,-9.513145847398288,-36.62481420015896
Piauí,Bahia,8,-7.378677773863817,-42.96696522142286,-12.45234511713527,-41.72176450233577
Piauí,Ceará,13,-7.378677773863817,-42.96696522142286,-5.089815983830066,-39.61608178595244
Piauí,Distrito Federal,3,-7.378677773863817,-42.96696522142286,-15.780989331973725,-47.79684222599829
Piauí,Goiás,4,-7.378677773863817,-42.96696522142286,-16.021068269554988,-49.61616789197541
Piauí,Maranhão,22,-7.378677773863817,-42.96696522142286,-5.063473525889801,-45.286406362550146
Piauí,Mato Grosso,3,-7.378677773863817,-42.96696522142286,-12.916186132060574,-55.9149517572351
Piauí,Minas Gerais,2,-7.378677773863817,-42.96696522142286,-18.42237047816257,-44.668033901736656
Piauí,Paraná,1,-7.378677773863817,-42.96696522142286,-24.624367999451334,-51.617875384343
Piauí,Pará,2,-7.378677773863817,-42.96696522142286,-3.96360452999938,-53.07098190581554
Piauí,Pernambuco,61,-7.378677773863817,-42.96696522142286,-8.324409775914233,-37.99762312297779
Piauí,Rio Grande do Sul,11,-7.378677773863817,-42.96696522142286,-29.678839629718627,-53.320051841053065
Piauí,Rio de Janeiro,2,-7.378677773863817,-42.96696522142286,-22.1927501263549,-42.66029361738904
Piauí,Rondônia,1,-7.378677773863817,-42.96696522142286,-10.90442312825415,-62.84474092395724
Piauí,Santa Catarina,1,-7.378677773863817,-42.96696522142286,-27.240610757469174,-50.47740300071737
Piauí,São Paulo,40,-7.378677773863817,-42.96696522142286,-22.250052902639116,-48.734659900719734
Rio Grande do Norte,Alagoas,1,-5.839255494364668,-36.67326985918983,-9.513145847398288,-36.62481420015896
Rio Grande do Norte,Bahia,3,-5.839255494364668,-36.67326985918983,-12.45234511713527,-41.72176450233577
Rio Grande do Norte,Ceará,17,-5.839255494364668,-36.67326985918983,-5.089815983830066,-39.61608178595244
Rio Grande do Norte,Distrito Federal,3,-5.839255494364668,-36.67326985918983,-15.780989331973725,-47.79684222599829
Rio Grande do Norte,Espírito Santo,6,-5.839255494364668,-36.67326985918983,-19.56783026436436,-40.66688741798281
Rio Grande do Norte,Goiás,1,-5.839255494364668,-36.67326985918983,-16.021068269554988,-49.61616789197541
Rio Grande do Norte,Mato Grosso,1,-5.839255494364668,-36.67326985918983,-12.916186132060574,-55.9149517572351
Rio Grande do Norte,Mato Grosso do Sul,12,-5.839255494364668,-36.67326985918983,-20.304769734215245,-54.84700428372272
Rio Grande do Norte,Minas Gerais,7,-5.839255494364668,-36.67326985918983,-18.42237047816257,-44.668033901736656
Rio Grande do Norte,Paraná,1,-5.839255494364668,-36.67326985918983,-24.624367999451334,-51.617875384343
Rio Grande do Norte,Paraíba,11,-5.839255494364668,-36.67326985918983,-7.12044513673908,-36.83247370477853
Rio Grande do Norte,Pará,1,-5.839255494364668,-36.67326985918983,-3.96360452999938,-53.07098190581554
Rio Grande do Norte,Pernambuco,6,-5.839255494364668,-36.67326985918983,-8.324409775914233,-37.99762312297779
Rio Grande do Norte,Rio de Janeiro,3,-5.839255494364668,-36.67326985918983,-22.1927501263549,-42.66029361738904
Rio Grande do Norte,Rondônia,1,-5.839255494364668,-36.67326985918983,-10.90442312825415,-62.84474092395724
Rio Grande do Norte,Santa Catarina,1,-5.839255494364668,-36.67326985918983,-27.240610757469174,-50.47740300071737
Rio Grande do Norte,São Paulo,5,-5.839255494364668,-36.67326985918983,-22.250052902639116,-48.734659900719734
Rio Grande do Sul,Alagoas,1,-29.678839629718627,-53.320051841053065,-9.513145847398288,-36.62481420015896
Rio Grande do Sul,Amazonas,2,-29.678839629718627,-53.320051841053065,-4.140190123349732,-64.6516494903481
Rio Grande do Sul,Bahia,5,-29.678839629718627,-53.320051841053065,-12.45234511713527,-41.72176450233577
Rio Grande do Sul,Distrito Federal,1,-29.678839629718627,-53.320051841053065,-15.780989331973725,-47.79684222599829
Rio Grande do Sul,Espírito Santo,5,-29.678839629718627,-53.320051841053065,-19.56783026436436,-40.66688741798281
Rio Grande do Sul,Goiás,3,-29.678839629718627,-53.320051841053065,-16.021068269554988,-49.61616789197541
Rio Grande do Sul,Maranhão,1,-29.678839629718627,-53.320051841053065,-5.063473525889801,-45.286406362550146
Rio Grande do Sul,Mato Grosso,12,-29.678839629718627,-53.320051841053065,-12.916186132060574,-55.9149517572351
Rio Grande do Sul,Mato Grosso do Sul,5,-29.678839629718627,-53.320051841053065,-20.304769734215245,-54.84700428372272
Rio Grande do Sul,Minas Gerais,6,-29.678839629718627,-53.320051841053065,-18.42237047816257,-44.668033901736656
Rio Grande do Sul,Paraná,34,-29.678839629718627,-53.320051841053065,-24.624367999451334,-51.617875384343
Rio Grande do Sul,Paraíba,2,-29.678839629718627,-53.320051841053065,-7.12044513673908,-36.83247370477853
Rio Grande do Sul,Pará,2,-29.678839629718627,-53.320051841053065,-3.96360452999938,-53.07098190581554
Rio Grande do Sul,Pernambuco,10,-29.678839629718627,-53.320051841053065,-8.324409775914233,-37.99762312297779
Rio Grande do Sul,Piauí,2,-29.678839629718627,-53.320051841053065,-7.378677773863817,-42.96696522142286
Rio Grande do Sul,Rio de Janeiro,4,-29.678839629718627,-53.320051841053065,-22.1927501263549,-42.66029361738904
Rio Grande do Sul,Rondônia,2,-29.678839629718627,-53.320051841053065,-10.90442312825415,-62.84474092395724
Rio Grande do Sul,Santa Catarina,121,-29.678839629718627,-53.320051841053065,-27.240610757469174,-50.47740300071737
Rio Grande do Sul,Sergipe,1,-29.678839629718627,-53.320051841053065,-10.582666889769746,-37.44371522874432
Rio Grande do Sul,São Paulo,10,-29.678839629718627,-53.320051841053065,-22.250052902639116,-48.734659900719734
Rio Grande do Sul,Tocantins,1,-29.678839629718627,-53.320051841053065,-10.131696777104315,-48.330725819425574
Rio de Janeiro,Alagoas,2,-22.1927501263549,-42.66029361738904,-9.513145847398288,-36.62481420015896
Rio de Janeiro,Amapá,1,-22.1927501263549,-42.66029361738904,1.446579361967846,-51.96205349152536
Rio de Janeiro,Bahia,4,-22.1927501263549,-42.66029361738904,-12.45234511713527,-41.72176450233577
Rio de Janeiro,Ceará,2,-22.1927501263549,-42.66029361738904,-5.089815983830066,-39.61608178595244
Rio de Janeiro,Distrito Federal,3,-22.1927501263549,-42.66029361738904,-15.780989331973725,-47.79684222599829
Rio de Janeiro,Espírito Santo,27,-22.1927501263549,-42.66029361738904,-19.56783026436436,-40.66688741798281
Rio de Janeiro,Goiás,3,-22.1927501263549,-42.66029361738904,-16.021068269554988,-49.61616789197541
Rio de Janeiro,Maranhão,1,-22.1927501263549,-42.66029361738904,-5.063473525889801,-45.286406362550146
